,Album ID,Title,Date Created,Date Created In Library,Visible,Catalog Identifiers - Album,Favorite Album - Status,Favorite Album - Date
281,l.8xyKvyq,Gimme! Gimme! Gimme! (A man after midnight) - Single,2023-07-06T19:33:55Z,2023-07-06T19:33:55Z,True,1637153005,,
282,l.92d4Pe3,See Wat I’m Sayin - Single,2023-02-15T08:07:07Z,2023-02-15T08:07:07Z,False,,,
283,l.92tgKu6,She Knows (with Akon) [3 Are Legend x Mandy Remix] - Single,2023-09-03T13:21:26Z,2023-09-03T13:21:26Z,True,1703955153,,
285,l.93xVxph,Chauffeur - Single,2024-10-10T03:51:31Z,2024-10-10T03:51:31Z,True,1614443085,,
287,l.96DImmp,Tantalizing - Single,2025-04-10T02:19:31Z,2025-04-10T02:19:31Z,True,1772696694,,
289,l.99cTzzq,Would You (go to bed with me?) [MGB Edit] - Single,2024-07-22T02:18:17Z,2024-07-22T02:18:17Z,True,1711704210,,
291,l.9AQSPwk,"Take Me Home, Country Roads - Single",2024-06-25T21:08:59Z,2024-06-25T21:08:59Z,True,1748837238,,
292,l.9DLjZiu,Talk To Me (feat. Naisha) - Single,2024-11-01T18:10:10Z,2024-11-01T18:10:10Z,True,1774350902,,
297,l.9KWMRvl,Parking Lot - Single,2024-07-19T16:19:57Z,2024-07-19T16:19:57Z,True,1752189829,,
298,l.9Le92j8,Lioness - Single,2024-06-08T01:59:38Z,2024-06-08T01:59:38Z,True,1749175516,,
299,l.9NT6gTq,Feel This Way - Single,2023-11-15T08:52:01Z,2023-11-15T08:52:01Z,True,1700666897,,
300,l.9OgIoIn,meet the grahams - Single,2024-05-05T11:18:27Z,2024-05-05T11:18:27Z,True,1744776349,,
302,l.9X24pC3,Ride With Me - Single,2025-03-18T19:11:50Z,2025-03-18T19:11:50Z,False,1578053158,,
303,l.9YXW525,I Guess - Single,2023-01-27T18:36:19Z,2023-01-27T18:36:19Z,True,1650919101,,
310,l.9onXH73,Junoon - Single,2024-01-03T09:54:12Z,2024-01-03T09:54:12Z,True,1606975467,,
313,l.9sdn0Pl,"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie) [David Guetta Downtempo Dance Remix] - Single",2022-01-08T08:01:16Z,2022-01-08T08:01:16Z,True,1600957497,,
316,l.A5VMgA1,Laser House - Single,2021-06-05T17:48:05Z,2021-06-05T17:48:05Z,False,1491059168,,
318,l.A8ycfZm,"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix] - Single",2022-08-26T08:05:47Z,2022-08-26T08:05:47Z,False,884361596,,
324,l.AM93Tbf,I'm Good (Blue) - Single,2024-07-14T21:10:05Z,2024-07-14T21:10:05Z,True,1640751219,,
326,l.ARfwVZa,San Francisco - Single,2023-05-25T21:04:43Z,2023-05-25T21:04:43Z,True,1611044650,,
327,l.ATGy6bc,Rocky Road Pt. 2 - Single,2023-02-17T21:04:49Z,2023-02-17T21:04:49Z,False,,,
331,l.AdKQ1hz,KHATLA PAR - Single,2025-01-31T07:40:05Z,2025-01-31T07:40:05Z,True,1792859431,,
332,l.Ae6C55a,Sorath (feat. Hariom Gadhavi) - Single,2023-05-03T19:21:05Z,2023-05-03T19:21:05Z,True,1661933970,,
335,l.AjvIKn1,No Love - Single,2023-03-18T06:34:57Z,2023-03-18T06:34:57Z,True,1635085634,,
336,l.Akevz4n,Baller - Single,2023-06-15T18:18:03Z,2023-06-15T18:18:03Z,True,1641674737,,
340,l.AoSkbAw,Boom Boom (Lip Lock) - Single,2024-01-18T00:02:34Z,2024-01-18T00:02:34Z,True,557250105,,
341,l.Aq5sHgj,Believe - Single,2024-05-04T03:01:24Z,2024-05-04T03:01:24Z,True,1741002349,,
344,l.AtfnpDw,Maula - Single,2021-03-12T18:57:16Z,2021-03-12T18:57:16Z,True,1710154660,,
345,l.AwgaDr7,Turks (feat. Travis Scott) - Single,2021-07-10T08:24:54Z,2021-07-10T08:24:54Z,True,1499933482,,
346,l.AwsRnm5,Loving You (feat. Lulu James) [Remixes] - Single,2023-08-07T00:40:27Z,2023-08-07T00:40:27Z,True,1017821585,,
347,l.Axrxy6u,New World (feat. Vava) - Single,2025-04-19T03:11:37Z,2025-04-19T03:11:37Z,True,1338904834,,
351,l.B9Ar003,"Tumhe Apna Banane Ka-Chand Chhupa (From ""T-Series Mixtape Season 2"") - Single",2025-03-18T19:11:50Z,2025-03-18T19:11:50Z,False,1459061818,,
352,l.B9K2Nqc,For Me - Single,2022-07-14T20:32:35Z,2022-07-14T20:32:35Z,True,1536034373,,
353,l.B9NwZJd,Go Back - Single,2024-07-22T02:18:20Z,2024-07-22T02:18:20Z,False,1745292769,,
355,l.BFWfQws,Catalyst - Single,2023-03-28T07:51:06Z,2023-03-28T07:51:06Z,True,1666640820,,
